entreprise,type_contrat,deparetement,date_publication,date_mise_a_jour,salaire,prise_de_poste,experience,metier,statut_du_poste,zone_de_deplacement,secteur_d_activite,Teletravail,descriptif_poste,profil_recherche,langues,savoir_etre,savoir_faire,descriptif_entreprise
Eays-Consulting,"1 
 CDI",Bourg-la-Reine - 92,Publiée le 08/03/2024,Actualisée le 08/03/2024,35 - 50 k€ brut annuel,Dès que possible,Minimum 2 ans,Ingénieur système,Cadre du secteur privé,Régionale,CONSEIL EN SYSTÈMES ET LOGICIELS INFORMATIQUES,,"Responsabilités :
Concevoir, déployer et entretenir les infrastructures réseau.
Assurer la disponibilité, la fiabilité et la performance des systèmes réseau.
Surveiller et optimiser les performances du réseau.
Intégrer de nouvelles technologies et assurer leur compatibilité.
Fournir un support technique aux utilisateurs et résoudre les problèmes.
Documenter les configurations et les procédures d'exploitation.","Compétences requises :
Diplôme en informatique, génie des télécommunications ou domaine connexe.
Minimum de 2 ans d'expérience en ingénierie réseau système.
Connaissance approfondie des protocoles et équipements réseau.
Compétences en résolution de problèmes et optimisation des performances.
Excellentes compétences en communication et autonomie.
Certification professionnelle en réseautique (CCNA, CCNP, etc.) est un atout.",['Aucune langue attendue'],"['Autonomie', 'Capacité à résoudre des problèmes', 'Capacité de communication']","['Protocole réseau', 'Cisco Career Certifications', 'Informatique', 'Optimisation de la performance', 'Télécommunication']","EAYS Consulting est une Entreprise de Service Numérique qui accompagne les grandes
entreprises et les opérateurs télécoms dans l'ingénierie de leurs produits et le déploiement de
leurs projets Télécom et IT."
SOLUTEC,"1 
 CDI",Nantes - 44,Publiée le 29/02/2024,Actualisée le 29/02/2024,34 - 38 k€ brut annuel,Dès que possible,Aucune expérience exigée,Ingénieur système,Cadre du secteur privé,Départementale,AUTRES ACTIVITÉS DE TÉLÉCOMMUNICATION,Partiel possible,"Au sein de l'équipe système et réseaux, vous interviendrez sur les missions suivantes :
Mettre en place et maintenir l'infrastructure réseau de l'entreprise
Gérer les serveurs, garantir leurs performances et leur sécurité
Mettre en œuvre des mesures de sécurité pour protéger les systèmes et les réseaux
Fournir un support aux utilisateurs finaux pour résoudre les problèmes informatiques
Surveiller les performances et optimiser l'infrastructure
Assurer la sauvegarde des données et la capacité de récupération en cas de panne
S'assurer que les systèmes et les réseaux respectent les réglementations en vigueur
Tenir à jour la documentation technique et les procédures","Issu(e) d'une formation ingénieur ou d'une école de commerce (Bac+5), vous justifiez d'une première expérience (stages acceptés) en administration d'infrastructures systèmes et réseaux.

Ingénieur systèmes et réseaux, vous avez déjà travaillé sur des infrastructures LAN / WLAN / Wifi / Sécurité et Firewall, sur des environnements Microsoft et/ou LINUX (installation, configuration, déploiement, supervision, support N3, virtualisation...).

Vous souhaitez vous investir dans des projets à forte valeur ajoutée et intégrer une société proche de ses collaborateurs ? N'hésitez plus, faites nous parvenir votre candidature et rejoignez-nous dans le cadre de ce poste en CDI.",['Aucune langue attendue'],['Capacité à résoudre des problèmes'],"['Administration système et réseau', 'Commerce', 'Documentation technique', 'Informatique', 'LAN', 'Linux', 'Management de la performance', 'Microsoft Office XP', 'Pare-feu de connexion Internet de Windows XP', 'Procédure de sauvegarde', 'Règlementations', 'Virtualisation', 'Wi-Fi', 'WLAN']","SOLUTEC est une ESN à taille humaine, spécialisée en ingénierie, conseil et services informatiques. Depuis plus de 30 ans, nous réalisons les prestations de services pour nos clients, offrant à nos consultants un cadre de travail dynamique et des missions challengeantes tant sur l'aspect technique que fonctionnel. Nous intervenons aussi bien sur des projets d'études et développement que sur des projets d'intégration, d'architecture et d'administration des systèmes et réseaux.

Vous cherchez à rejoindre une équipe pleine de dynamisme à Nantes ? Travailler dans un environnement Start Up avec les avantages d'une structure en pleine croissance telle que SOLUTEC ? Ce poste est fait pour vous !"
Hays France,"1 
 CDI",Montbéliard - 25,Publiée le 21/02/2024,Actualisée le 21/02/2024,38 - 42 k€ brut annuel,Dès que possible,Minimum 5 ans,Ingénieur système,Cadre du secteur privé,Pas de déplacement,ACTIVITÉS DES SIÈGES SOCIAUX,,"Intégré dans une équipe, vous allez exploiter vos compétences sur le stack technique suivant : Windows Sever, VMWare, DELL-EMC, HPE, Fujitsu, Datacore, Watchguard, Veeam, ARUBA.
Dans ce contexte voici vos missions :
- Mise en œuvre et déploiement de solutions d'infrastructures complexes ;
- Installation et paramétrage de solutions complètes ;
- Gestion de projet, dépannage et suivi des clients de recueil du besoin jusqu'au support en passant par la mise en production ;
- Accompagnement des utilisateurs dans l'usage quotidien de leur système informatique ;","De formation Master en Administration Systèmes et Réseaux, vous justifiez d'une expérience de 5 ans minimum dans la mise en œuvre de solutions informatiques et vous maîtrisez le stack technique suivant : Windows Server, Watchguard, VMware, Veeam, Datacore dans le cadre d'installations de serveurs, de virtualisation, d'administration réseaux, de gestion de sauvegarde.",['Aucune langue attendue'],['Aucun savoir-être attendu'],"['Administration système et réseau', 'Microsoft Windows Server', 'Veeam', 'Virtualisation', 'Analyse des besoins', 'Gestion de projet', 'Informatique', 'Microsoft Windows', 'Mise en production', 'Performance énergétique', 'Suivi clientèle', 'Watchguard']",Nous recherchons un profil d'Ingénieur systèmes et réseaux pour notre client en pleine croissance. Le poste est basé à Montbéliard. Il est à pourvoir dès que possible en CDI.
ComNot,"1 
 CDI",Seyssinet-Pariset - 38,Publiée le 27/02/2024,Actualisée le 27/02/2024,42 - 48 k€ brut annuel,Dès que possible,Minimum 5 ans,Ingénieur de production informatique,Cadre du secteur privé,Régionale,CONSEIL EN SYSTÈMES ET LOGICIELS INFORMATIQUES,,"Votre rôle
Vos différentes expériences dans le monde des télécoms et du réseau vous permettent de pouvoir prendre la responsabilité des projets externes en après-vente ainsi que des projets internes pour les besoins de l’entreprise et notamment dans la Business Unit IT.
Pour les aspects de gestion de projets en production, vous maîtrisez l’ensemble des étapes depuis la validation de la commande client et le passage de la commande fournisseur jusqu’à la livraison et la mise en exploitation auprès du NOC interne. Vous êtes à même de piloter la mise en œuvre du déploiement de tout type de projets Système & Réseaux. Vous vous assurez de la satisfaction du client.
Vos principales missions
Pilotage de projets et déploiement systèmes et réseaux clients
Prendre en compte les exigences des utilisateurs en termes de performances des systèmes, des sauvegardes et du réseau (puissance, rapidité, stabilité) ;
Assurer l’interface entre les équipes internes client et externes (sous-traitants) lors de la mise en place des systèmes et des réseaux ;
Superviser/réaliser l’installation et le paramétrage des équipements (serveurs, systèmes, sauvegarde, switch, routeurs, etc..) et logiciels d’administration de réseaux ;
Mettre en place les systèmes (VMware, HyperV, AD, Veeam, …) pour la gestion des applications et des données dans l’entreprise,
 Mettre en place les interconnexions entre les différents réseaux de l’entreprise pour assurer la compatibilité des réseaux entre eux ;
Apporter son expertise technique et fonctionnelle lors de mise en place de projets Réseaux, ToIP ;
Suivre le déploiement, la gestion et le paramétrage des routeurs Wi-Fi ;
Etudier les choix techniques et les coûts de la téléphonie ;
Elaborer des procédures de tests et suivre leur exécution ;
Rédiger et mettre à jour la documentation technique projet.
Pilotage de projets et déploiement systèmes et réseaux internes
Participer à l’amélioration et le maintien des systèmes et du réseau interne ;
Optimiser le réseau par l’accompagnement du pilotage de projet d’installation ;
Mettre en place les normes de sécurité notamment celles liées aux conditions d’accès ;
Assurer la bonne gestion des droits d’accès au réseau, pour les machines d’une part, et pour les utilisateurs d’autres part, dans le respect des règles de sécurité du client ;
Intégrer de nouvelles applications afin d’améliorer les performances des réseaux ;
Assurer la mise en œuvre des montées de versions ;
Superviser l’installation et le paramétrage des équipements (serveurs physiques et virtuels, sauvegardes, switch, routeurs, etc..) et logiciels d’administration de réseaux ;
Rédiger et MAJ la documentation ;
Elaborer des procédures de tests  ;
Définir l’ensemble des sauvegardes nécessaires pour maintenir la sécurité des données circulant dans le réseau de l’entreprise ;
Gérer les performances ;
Mettre en place des tableaux de bord de suivi des performances et de qualité du réseau ;
Définir le plan de secours en cas de défaillance du réseau.","Support aux utilisateurs et maintenance réseaux (support Niveau 3 de l’exploitation) orienté client
Intervenir en tant qu’expert auprès des administrateurs systèmes et réseaux afin de les aider en cas de panne ou de difficultés (support de 3ème niveau) ;
Auditer les systèmes et réseaux lors de dysfonctionnements, mettre en place des solutions pour assurer le maintien en conditions opérationnelles du réseau ;
Suivi des procédures mises en place lors des pannes des applications réseaux ou des serveurs de messagerie et les dysfonctionnements.
Veille technologique
Assurer une veille technologique afin d’anticiper les évolutions nécessaires à l’optimisation du réseau ;
Proposer les investissements informatiques relatifs aux réseaux de manière à garantir la sécurité, la fiabilité et les performances des équipements.
Votre profil
Formation de niveau bac +3 avec expérience spécialisée en informatique, réseaux et télécommunications ;
Formation de niveau bac +4/5 spécialisée en informatique, réseaux et télécommunications ;
Écoles d’ingénieurs (informatique, télécoms, généralistes) ;
Des certifications professionnelles des principaux éditeurs et constructeurs IT seraient appréciées.
Vos compétences
Compétences techniques
Bonne connaissance de l’architecture et des fonctionnalités du SI de l’entreprise ;
Expertise dans l’administration des réseaux et systèmes (systèmes, routeurs, firewall…) ;
Connaissance des systèmes (VMware, HyperV, AD, …),
Très bonnes connaissances des protocoles réseaux et de télécommunication (TCP/IP, Ethernet, LAN, WAN…) ;
Bonne connaissance de la gestion des logiciels d’infrastructure (systèmes d’exploitation, serveurs de messagerie, bases de données…) ;
Très bonnes connaissances des technologies télécoms et Internet (DNS, SSH, FTP, DHCP, HTTP(S), NTP, SNMP …) ;
Bonnes connaissances des principaux systèmes d’exploitation (notamment Windows et Unix) ;
Connaissance des normes et procédures de sécurité et des outils et technologies qui s'y rapportent : firewall, antivirus, serveurs d'authentification, filtrages d'URL...
Connaissance des principaux constructeurs et éditeurs prestataires du marché ;
Compréhension des enjeux des différents domaines de client et de ses spécificités métiers ;
Maîtrise de l’anglais technique.
Aptitudes professionnelles
Ecoute et dialogue pour bien comprendre les besoins des utilisateurs et des autres experts ;
Bonne appréhension du risque, aussi bien technique que lié au contenu des données ;
Bonne gestion de cas de panne ;
Adaptabilité et curiosité technique car les évolutions technologiques sont rapides et doivent être assimilées afin de pouvoir optimiser l’existant ;
Bonne relation avec les partenaires et sous-traitants ;
Polyvalence, en cas d’assistance aux administrateurs systèmes et ingénieurs sécurité informatique.
  ",['Anglais'],"[""Capacité d'adaptation"", 'Capacité d’écoute', 'Curiosité', 'Disponibilité', 'Polyvalence', 'Proactivité', 'Résistance au stress']","['Dynamic host configuration protocol', 'Ethernet', 'File Transfer Protocol', 'Administration système et réseau', 'Antivirus', 'Architecture SI', 'Audit', 'Base de données', 'BU', 'Compte utilisateur', 'Contrôle qualité', 'Défaillance', 'Développement et suivi de partenariats', 'Documentation', 'Documentation technique', 'Gestion de base de données', 'Gestion de la production', 'Hyper-V', 'Informatique', 'Management de projet', 'Pare-feu de connexion Internet de Windows XP', 'Protocoles de tests', 'Routeur', 'Serveur de messagerie', 'Switch', ""Système d'exploitation"", ""Technologies innovantes et management de l'innovation"", 'Télécommunication', 'Virtualisation', 'Voix sur réseau IP']","À propos de nous
Créé en 1989, Com6 est un ESN et fait partie d'un Groupe de 150 personnes basé à Région Auvergne-Rhône-Alpes dans les métiers des systèmes et réseaux informatique, sécurité informatique, infogérance, stockage, FAI, ....
Compétences (liste non exhaustive et la totalité de ces compétences n'est pas exigée) : Windows server, HyperV, VMware, Exchange, Citrix, Sécurité (pare-feu Stormshield ou équivalent), Switch (CISCO, Aruba HPE ou équivalent), Veeam Backup, O365, postes de travail sous W10, Linux, MAC IOS, ...
Formation possible si le candidat est motivé avec du potentiel.
Poste sédentaire au HelpDesk et/ou terrain en fonction des profils de chacun. Evolution possible dans le temps. Les interventions terrain sont à 90% sur la région Auvergne Rhône Alpes."
CLEEVEN SE,"1 
 CDI",Biot - 06,Publiée le 19/03/2024,Actualisée le 19/03/2024,A partir de 25 k€ brut annuel,Dès que possible,Aucune expérience exigée,Ingénieur réseaux,Cadre du secteur privé,Départementale,"INGÉNIERIE, ÉTUDES TECHNIQUES",Ponctuel autorisé,"Nous recherchons notre futur ingénieur réseaux pour rejoindre notre équipe de Sophia Antipolis. Dans ce rôle, vos principales responsabilités consisteront notamment à :
La création d’une architecture réseaux
S’assurer de la sécurité des réseaux
S’assurer du bon fonctionnement des réseaux et les faire évoluer en fonctions des changements 
Proposer de nouvelles solutions
Tester les nouvelles solutions","Vous êtes titulaire d’un Bac +5 issu d’une école d’ingénieur ou d’un cursus universitaire. Vous disposez d’une expérience réussie dans l’administration réseaux. Vous êtes rigoureux(se), méthodique et organisé(e).
Alors venez vivre l’expérience au sein d’une société dynamique et innovante !",['Aucune langue attendue'],"['Dynamisme', 'Force de proposition', 'Rigueur', ""Sens de l'organisation""]","['Administration système et réseau', 'Architecture réseau', 'Sécurité réseaux']","QUI SOMMES NOUS ?
CLEEVEN, cabinet de conseil en ingénierie à dimension internationale, s'est construit autour de 2 éléments extrêmement forts :
 Notre MISSION : Augmenter le degré de conscience de soi et de ceux qui nous entourent.
Notre CONVICTION : L'excellence des Ingénieurs européens doit permettre à l'Europe de développer sa position de leader en terme d'Innovation Technologique, et de R & D. En tant qu'ingénieurs, nous participons activement aux côtés de nos clients à assurer leur compétitivité mondiale."
PROTECTIC INGENIERIE,"1 
 CDI",Vélizy-Villacoublay - 78,Publiée le 14/03/2024,Actualisée le 14/03/2024,A partir de 35 k€ brut annuel,Dès que possible,Minimum 2 ans,Ingénieur système,Cadre du secteur privé,Pas de déplacement,CONSEIL EN SYSTÈMES ET LOGICIELS INFORMATIQUES,Non autorisé,"Dans le cadre de nos activités industrielles, PROTECTIC recherche un(e) Ingénieur(e) Systèmes et Réseaux, dans le domaine de la Défense.
Vos missions: 
Administration Systèmes : Installation et configuration des serveurs virtualisés et physiques.
Administration Réseau : Installation et configuration des commutateurs virtualisés et physiques.
Configuration des pares-feux virtualisés et physiques.
Automatisation de procédure manuelle.
Génération d’une documentation technique
Migration de la documentation technique dans GIT
Gestion des VM sous ESXi et des plateformes physiques
Gestion de versions de la configuration système d’information.
Automatisation des configurations systèmes pour le déploiement
Localisation: Vélizy (78)
 ","Profil:
Ingénieur(e) Systèmes et Réseaux et / ou Administration Système, diplômé de l’enseignement supérieur, vous justifiez d'une expérience minimum de 2 ans.
 Compétences Techniques: 
Linux 
Windows 
Script (PowerShell, Python) 
GIT 
Ansible 
GPO
VMware 
Soft Skills: 
Communication 
Adaptation 
Autonomie 
 ",['Aucune langue attendue'],"['Autonomie', ""Capacité d'adaptation""]","['Administration système et réseau', 'Ansible', 'Automatisme', 'Communication', 'Configuration des postes de travail', 'Documentation technique', 'Enseignement', 'ESX Server', 'Gestion de versions', 'GIT', 'GPO', 'Linux', 'Microsoft Windows', 'Physique', 'PowerShell', 'Python', ""Système d'information"", 'Virtualisation']","Protectic est une société de conseil en ingénierie de haut niveau spécialisée en informatique depuis sa création en 1983. Nous avons depuis déployé les pôles Ergonomie et QHSE & Radioprotection au sein de nos équipes.

Société à taille humaine certifiée ISO9001 et CEFRI, nous mettons en valeur votre montée en compétence tout au long de votre carrière. 

Nous intervenons auprès de l'Industrie et de la Recherche sur des sujets de Défense, Aéro, Télécommunications, Transports, Energies et Systèmes d'Information.
 "
ARTEMYS NORMANDIE,"1 
 CDI",Le Havre - 76,Publiée le 12/02/2024,Actualisée le 14/03/2024,35 - 45 k€ brut annuel,Dès que possible,Minimum 3 ans,Ingénieur système,Cadre du secteur privé,Pas de déplacement,CONSEIL EN SYSTÈMES ET LOGICIELS INFORMATIQUES,Partiel possible,"Intégré (e) au sein d’un environnement Grand compte, vos missions porteront tant sur la partie Réseaux que sur la partie Système,
Vos missions quotidiennes :
-        Assurer un support de Niveau 2 et 3 sur la partie Réseau
-        Maitriser la construction d’un réseau LAN
-        Connaissance dans le firewalling (création de tunnel avec le siège – et de règle de filtrage)
-        Mise en place et gestion de Radius
-        Concevoir des plans d’implantation ou refonte du WI-FI
-        Apporter une aide au service Système au besoin
-        Contribuer aux différents projets techniques et fonctionnels (Démarrage de site – refonte d’un réseau – réalisation de schéma réseau
-        Être force de proposition dans l’objectif de faire évoluer la sécurité réseau
-        Réaliser l’évolution du référentiel technique","L’environnement technique associé :
-        LAN / Switch (Extreme network / enterasys –/HP Aruba)
-        WAN
-        Firewalling (Fortinet /Stromschield)
-        Environment Windows (Hyper V – VMWare)
-        Supervision
Vous avez une expérience confirmée en tant qu’Ingénieur réseaux /sytéme
 Vous appréciez le travail d’équipe et savez encadrer des alternants dans vos tâches quotidiennes,
 Vous êtes force de proposition
 Votre anglais est courant",['Aucune langue attendue'],['Aucun savoir-être attendu'],"['LAN', 'Fortinet', 'Microsoft Windows', 'Networks', 'Pare-feu de connexion Internet de Windows XP', 'Remote Authentication Dial-In User Service', 'Sécurité réseaux', 'Switch', 'Virtualisation', 'WAN', 'Wi-Fi']","ESN : +30 ans d existence.
Expertise dans l IT : Infrastructure Systèmes, Cloud DevOps, Modern Workplace & End-User Services.
600 collaborateurs | 55M CA (2021).
Partenaire de solutions Microsoft depuis 2004 | Partner Modern Workplace et Security | 6 Spécialisations avancées.
Entreprise humaine : ProximITé, ConvivialITé, SolidarITé, EsprIT d équipe, Partage, Respect et Accompagnement.
Engagement responsable : Adhésion Global Compact, Planet Tech Care, Label SILVER EcoVadis Sustainability, Charte de la Diversité.
L IT chez ARTEMYS combine la technologie et l humain ! Nous sommes convaincus que les compétences, le savoir-être et l épanouissement de nos Talents sont les clés de notre réussite."
Hays France,"1 
 CDI",Strasbourg - 67,Publiée le 20/02/2024,Actualisée le 20/02/2024,38 - 40 k€ brut annuel,Dès que possible,Minimum 2 ans,Ingénieur système,Cadre du secteur privé,Pas de déplacement,GESTION D'INSTALLATIONS INFORMATIQUES,,"Rattaché au pôle Technique et Infrastructure de l'entreprise, vous intervenez pour déployer de nouvelles infrastructures et sous forme de micro-régies pour des partenaires externes dans le département du 67.
Les missions sont les suivantes :
- Intervenir sur des projets de déploiement nouveau matériel,
- Micro régies (1 fois par semaine / 1 fois par mois / 1 fois par trimestre),
- Réaliser le maintien en condition opérationnelle des installations,
- Traiter l'évolution systèmes et réseaux complexes,
- Etre l'interlocuteur dédié pour certains partenaires,
- Former les utilisateurs de nouvelles solutions,
- Assurer une veille technologique.","- Vous disposez d'un diplôme Bac +2 minimum spécialisé en Infrastructure informatique.
- Connaissances techniques sur technologies VMware, Windows Server, Veeam, Aruba, Cisco, DataCore, etc.

Avantages : salaire annuel brut entre 38000 et 40000 € ; de nombreux avantages sur le poste comme un véhicule 2 places pour les déplacements et à titre personnel.",['Aucune langue attendue'],['Aucun savoir-être attendu'],"['Cisco IOS', 'Informatique', 'MCO', 'Microsoft Windows Server', ""Technologies innovantes et management de l'innovation"", 'Veeam', 'Virtualisation']","Nous recherchons un Ingénieur systèmes et réseaux pour un client, ESN en plein développement dans plusieurs villes en France, positionné sur une spécialisation TPE/PME."
Hays France,"1 
 CDI",Caen - 14,Publiée le 08/03/2024,Actualisée le 08/03/2024,38 - 50 k€ brut annuel,Dès que possible,Minimum 5 ans,Ingénieur système,Cadre du secteur privé,Pas de déplacement,TIERCE MAINTENANCE DE SYSTÈMES ET D'APPLICATIONS INFORMATIQUES,Ponctuel autorisé,"Dans le cadre de son développement, vous intégrez un beau groupe, dans une équipe dynamique de 12 personnes et travaillez en collaboration avec tous les acteurs des différents services. Rattaché à l'équipe infrastructure, vous assurez le bon fonctionnement des systèmes et des réseaux, mais également l'exploitation.
Vos missions sont les suivantes :
La gestion des infrastructures, de projets multidomaines (sécurité, réseaux et systèmes) sur du court et/ou du long terme : au niveau réseau et applicatif, administration, refonte réseau (LAN/WAN/WLAN) ou encore du PRA,
Le déploiement d'infrastructure réseaux et systèmes, son administration et le maintien des équipements physiques et virtuels (hyperviseur, serveur, switch, firewall…),
L'exploitation des services Microsoft Cloud et OnPremise (Windows Server, Active Directory, M365, GPO…),
La sensibilisation, le suivi et le maintien de la partie cybersécurité (en lien avec le SOC interne et les partenaires),
Le pilotage et la mise à jour des équipements afin de garantir un niveau de sécurité élevé,
Le pilotage des projets d'évolutions sur la sécurité des SI, la surveillance des équipements et les accès/services critiques pour éviter les cyber-menaces,
Des déplacements ponctuels sur les sites, sur le territoire national, pour le déploiement et l'accompagnement des équipes,
La participation aux astreintes du pôle réseaux et systèmes.

Stack technique requis :
Environnement Microsoft : OnPremise, Active Directory, Cloud Azure, Microsoft 365,
Virtualisation : VMWare, stockage DELL/EMC, VEEAM BackUp, Systèmes Linux (Centos, Debian),
Switching: Cisco, HPE, WiFi Cisco, Ruckus,
Firewalls : Fortinet.","Vous avez une expérience significative d'au moins trois ans, idéalement au sein d'une SSII ou dans une société en lien avec l'informatique dans un groupe multisite. Vous aimez le travail en équipe, êtes organisé, autonome, rigoureux et force de proposition.

Si vous vous reconnaissez dans les missions et que vous souhaitez être acteur au sein d'une belle structure, n'hésitez pas à postuler ! Votre candidature sera traitée en toute confidentialité.",['Aucune langue attendue'],"['Autonomie', 'Disponibilité', ""Esprit d'équipe"", 'Force de proposition', 'Rigueur', ""Sens de l'organisation""]","['Informatique', 'SSII', 'Active Directory', 'CentOS', 'Cisco IOS', 'Cloud', 'Debian', 'Fortinet', 'GPO', 'Infrastructure systèmes', 'LAN', 'Linux', 'M365', ""Management d'équipe"", 'Management de projet', 'Microsoft Office XP', 'Microsoft Windows Azure', 'Microsoft Windows Server', 'Pare-feu de connexion Internet de Windows XP', 'Performance énergétique', 'Physique', 'Ruckus', 'Switch', ""Système d'information"", 'Veeam', 'Virtualisation', 'WAN', 'Wi-Fi', 'WLAN']","Nous recherchons pour notre client, entreprise dynamique, filiale informatique d'un grand groupe, dans l'évolution de ses infrastructures, un Ingénieur systèmes et réseaux. Ce poste est en CDI et basé sur la région caennaise (14)."
AMAPII,"1 
 CDI",Saint-Denis - 93,Publiée le 07/03/2024,Actualisée le 07/03/2024,50 - 70 k€ brut annuel,Dès que possible,Minimum 5 ans,Ingénieur système,Cadre du secteur privé,Pas de déplacement,CONSEIL EN SYSTÈMES ET LOGICIELS INFORMATIQUES,Non autorisé,"Missions:
Configuration des équipements actifs : Sur la base des spécifications techniques fournies par le Chef de Projet, vous rédigerez des documents de spécifications détaillées pour configurer les équipements réseau, notamment les commutateurs et routeurs Cisco, en veillant à leur conformité aux normes de sécurité et aux bonnes pratiques.
Documentation : En plus des documents de spécifications, vous serez chargé de rédiger des documents représentatifs de votre travail, tels que des Dossiers d'Ouvrage Exécuté (DOE) et des procédures de configuration des équipements, afin de garantir la traçabilité et la pérennité des installations.
Transfert de compétences / formation : Vous serez également responsable de la formation des utilisateurs de l'infrastructure réseau que vous avez déployée. Cette prestation inclura généralement une présentation au format PowerPoint pour faciliter l'assimilation des connaissances et des bonnes pratiques.","Vous avez une expérience significative en tant qu'ingénieur système réseau ?
Vous maîtrisez Cisco ?
Vous avez des connaissances sur Stormshield ?",['Aucune langue attendue'],['Aucun savoir-être attendu'],"['Actions de formation', 'Cisco IOS', 'Contrôle de la conformité', 'Documentation', 'Dossier des ouvrages exécutés', 'Microsoft PowerPoint', 'Rédaction de spécifications techniques et fonctionnelles', 'Routeur', 'Stormshield', 'Traçabilité']","Aujourd hui présent en France et en Europe, AMAPII accompagne ses clients dans leur transformation digitale.
 
De la mise en place d une stratégie à son exécution, nos consultants, partenaires et experts viennent apporter leurs connaissances et partager leur passion pour l innovation. Nous intervenons à tous les niveaux pour assurer la réussite des start-up comme des grands groupes internationaux.
 
Nous sommes impatients de partager avec vous notre dynamisme et de vous accompagner dans votre évolution de carrière."
