entreprise,type_contrat,deparetement,date_publication,date_mise_a_jour,salaire,prise_de_poste,experience,metier,statut_du_poste,zone_de_deplacement,secteur_d_activite,Teletravail,descriptif_poste,profil_recherche,langues,savoir_etre,savoir_faire,descriptif_entreprise
MICHAEL PAGE INTERNATIONAL FRANCE,"1 
 CDI",Paris 08 - 75,Publiée le 16/03/2024,Actualisée le 16/03/2024,28 - 35 k€ brut annuel,Dès que possible,Aucune expérience exigée,Chief Data Officer,Cadre du secteur privé,Pas de déplacement,"AUTRES ACTIVITÉS DES SERVICES FINANCIERS, HORS ASSURANCE ET CAISSES DE RETRAITE, NCA",,"En qualité de Data Manager, vous êtes en charge d'organiser l'ensemble des données gérées par l'entreprise.

Vous serez amenés dans le cadre de vos missions à intervenir dans les domaines suivants :

Gouvernance des données :
Architecture, modélisation et conception des données,
Gestion des données,
Classement des fichiers,
Mise à jour des bases de données en ajoutant les données manquantes et en supprimant les erreurs de datas,
Mise à jour de notre GED,
Tri de la base clients et prospects,
Création et complétude de champs,
Édition et envoi automatisés de communication (reportings, newsletters...),
Gestion des risques liés aux données (confidentialité, sécurité, conformité),
Supervision de la procédure RGPD au sien de l'entreprise.




Développement et amélioration des process :
Élaboration d'une stratégie pour la gestion des données clés et l'optimisation du traitement de ces dernières,
Coordination et mise en oeuvre de cette stratégie,
Mise en place d'outils qui vise au traitement systématique des données clients,
Mise en place d'une passerelle avec notre outil-métier : Administration et modération de l'outil métier (O2S).




Poste basé à Paris-8e-Arrondissement en CDI.","Idéalement issu d'une formation Bac +3 minimum, vous êtes un Data Manager doté :
D'un esprit de synthèse,
D'une capacité de prise de décision et d'initiative,
D'une qualité d'organisation et de rigueur.




Poste basé à Paris-8e-Arrondissement en CDI.",['Aucune langue attendue'],"['Capacité à prendre des décisions', 'Capacité de synthèse', 'Confidentialité', ""Esprit d'initiative"", 'Rigueur', ""Sens de l'organisation""]","['Amélioration continue', 'Architecture', 'Automatisme', 'Base de données', 'Communication', 'Data Management', 'Gestion de base de données', 'Gestion des risques', 'Gestion documentaire', ""Procédure d'entreprise"", 'Publication', 'Reporting', 'Support de communication']","Recrutez rapidement les meilleurs experts en Informatique avec Michael Page Technology ! Nos Consultants spécialisés en recrutement IT associent outils de sourcing innovants, approche directe et conseil personnalisé pour recruter vos talents IT en CDI, Freelance, Management de Transition ou Intérim. Michael Page Technology répond à vos enjeux de recrutement en Infrastructure, Développement, Data, IA, Cloud, Cybersécurité, Projets etc.

Notre client est une société à taille humaine spécialisée dans le conseil en investissements qui recrute aujourd'hui un Data Manager en CDI.

Poste basé à Paris-8e-Arrondissement."
MICHAEL PAGE INTERNATIONAL FRANCE,"1 
 CDI",Saint-Ouen - 93,Publiée le 16/03/2024,Actualisée le 16/03/2024,75 - 80 k€ brut annuel,Dès que possible,Aucune expérience exigée,Développeur,Cadre du secteur privé,Pas de déplacement,ACCUEIL OU ACCOMPAGNEMENT SANS HÉBERGEMENT D'ADULTES HANDICAPÉS OU DE PERSONNES ÂGÉES,,"En tant que Lead Développeur FullStack, vous rapportez directement au DSI et vos missions sont :
Comprendre les besoins métiers et aider les développeurs à les comprendre et les adresser par des solutions simples et puissantes,
Superviser les développements : Contrôle de la bonne progression des développements, définition de la ligne directrice, des choix techniques, méthodes à utiliser,
Manager votre équipe : Accompagner les Développeurs, résoudre les problèmes, les faire monter en compétences, assurer le suivi de carrière,
Être le référent en matière de code, mettre en place de bonnes pratiques et vérifier les actions menées par votre équipe,
Se charger du codage de parties spécifiques dans certains projets,
S'assurer de la qualité du code grâce à des revues de code régulières, des outils d'analyse du code automatique,
Assister les Développeurs dans l'évaluation de la complexité des users stories,
Garantir le respect des engagements de développements dans les sprints,
Mettre en place des tests/de recettage (unitaires et automatisés),
Interagir avec les autres acteurs de l'écosystème.


Compétences attendues :
Typescript, Node.js, ReactJS, MySQL ou SQL Server, Docker, .NET
Maîtrise des principes de CI/CD : Jenkings/GitHub/GitHub Actions, gestion de branches et de releases.","Vous justifiez d'une expérience d'au moins 5 ans à un poste de Lead Développeur FullStack en PME, startup ou projet au forfait en ESN. Vous avez également participé à toutes les phases de cycle de vie d'un projet ou en tant que Tech Lead ou Architecte.

De plus, vous avez une très bonne maîtrise :
Des langages, outils et framework suivant : Typescript, Node.js, .Net, ReactJS, MySQL ou SQL Server, Docker,
Des principes de CI/CD : Jenkings/GitHub/GitHub Actions, gestion de branches et de releases,
De la mise en place de tests unitaires.


Vous avez une bonne capacité à développer des parties de projets qui devront partir en prod.",['Aucune langue attendue'],"['Capacité à résoudre des problèmes', ""Sens de l'engagement""]","['Automatisme', 'Build & Release', 'Codage', 'Cycle de vie', 'Docker', 'Framework', 'Github', ""Management d'équipe"", 'Microsoft .NET', 'Microsoft SQL Server', 'MySQL', 'Node.js', 'Qualité', 'ReactJS', 'SPRINT', 'SSII', 'Suivi de projets et de dossiers', 'Test de recette', 'Test unitaire', 'TypeScript', 'User stories']","Recrutez rapidement les meilleurs experts en Informatique avec Michael Page Technology. Nos Consultants spécialisés en recrutement IT associent outils de sourcing innovants, approche directe et conseil personnalisé pour recruter vos talents IT en CDI, freelance, management de transition ou intérim. Michael Page Technology répond à vos enjeux de recrutement en infrastructure, développement, data, IA, cloud, cybersécurité, projets, etc.

Notre client, acteur international leader sur son segment, recherche dans le cadre de son développement un Lead Développeur FullStack. Le poste est en CDI et basé à votre convenance soit à Saint-Ouen (93)."
MICHAEL PAGE INTERNATIONAL FRANCE,"1 
 CDI",Courbevoie - 92,Publiée le 16/03/2024,Actualisée le 16/03/2024,50 - 60 k€ brut annuel,Dès que possible,Aucune expérience exigée,Business analyst,Cadre du secteur privé,Pas de déplacement,ACCUEIL OU ACCOMPAGNEMENT SANS HÉBERGEMENT D'ADULTES HANDICAPÉS OU DE PERSONNES ÂGÉES,,"Au sein du Pôle Données de la DSI de notre client, vous interviendrez sur toute la chaîne de valeur numérique et data en lien avec différents business et ses Product Owners et vos missions seront nombreuses et transverses :
Définir, concevoir et améliorer les lignes de services ou les solutions Si métier qui sont sur votre responsabilité,
Vous définissez ce sur quoi le train Agile doit travailler dans le but de maximiser la valeur produite pour l'ensemble des métiers,
Qualifier et évaluer les tendances actuelles au regard des nouveaux besoins utilisateurs,
Proposer des évolutions ou nouvelles solutions au regard de ces nouvelles tendances,
Élaborer une roadmap et suivre son avancement,
Assurer le cadre des fonctionnalités visées, les formaliser et prioriser les backlogs des solutions avec les métiers ainsi que les cas d'usage,
Suivre les interactions des clients avec la solution et définir les nouvelles actions,
Suivre les évolutions des développements et arbitrer par la valeur ajoutée si besoin,
S'assurer de la cohérence des produits,
Participer activement aux cérémonies Agile à l'échelle des solutions (Pre-post PI Planning, PI planning, démos, rétro, trains, etc.).","En tant que Business Analyst Mécanisme de Marché, vous êtes idéalement diplômé d'un Bac +5 minimum et justifiez d'une expérience d'au moins 5 ans à un poste similaire.

Vous connaissez les attendus suivants :
Vous avez déjà évolué sur des sujets de mécanismes de marché, idéalement dans l'énergie mais tout autre domaine de trading nous intéressera,
Vous savez analyser et piloter un grand volume de donnée, la Data est au coeur de votre action de création de valeur ajoutée,
Vous avez évolué entre le Business et les équipes IT dans le but de mettre en place des solutions et produits IT,
Vous maîtrisez la méthodologie Agile,
Très bon relationnel.",['Aucune langue attendue'],['Sens du relationnel'],"['Méthodologie agile', 'Roadmap', 'Scrum', ""Technologies innovantes et management de l'innovation"", 'Trading']","Mon client est un acteur incontournable de la distribution d'électricité en France et exploite une quantité des données qui a peu d'équivalents en France.

Au sein de la DSI et du Pôle Données, il cherche à recruter un candidat avec l'expérience du trading et de la donnée, que ce soit dans un contexte Energie ou d'autres mécanismes de marché."
MICHAEL PAGE INTERNATIONAL FRANCE,"1 
 CDI",Ivry-sur-Seine - 94,Publiée le 16/03/2024,Actualisée le 16/03/2024,80 - 87 k€ brut annuel,Dès que possible,Aucune expérience exigée,Architecte développement,Cadre du secteur privé,Pas de déplacement,ACCUEIL OU ACCOMPAGNEMENT SANS HÉBERGEMENT D'ADULTES HANDICAPÉS OU DE PERSONNES ÂGÉES,,"Missions :

Tech lead/pilotage :
Participer à la roadmap technologique du pôle,
S'assurer des plannings de réalisation de mise en production,
Être le garant du rôle de référent technique de l'équipe et être porteur des comités d'expertise.




Ingénierie technique :
Valider, voire définir les plans de mise en production (PMEP),
Contrôler et valider la qualité des livrables des équipes projets et d'architecture (DIN, DAT, DEX),
Déployer les infrastructures à forte valeur ajoutée,
Assurer la mise en activité réelle d'une correction ou d'une mise à jour d'une composante logicielle ou matérielle après sa validation en pré-production (RUN),
Assurer l'interface avec les fournisseurs, les Architectes, les « TAM » et l'Incidents/Problem/Change Manager,
Assurer un support technique de 2ème niveau sur les environnements technique de production,
Réaliser l'analyse des contraintes d'exploitabilité,
Participer à la définition et la mise en place du PRA,
Définir les procédures pour assurer une maintenance préventive et curative des systèmes.




Ingénierie analytique et chefferie de projet :
Établir la documentation technique, pérenniser la connaissance,
Assurer le pilotage des projets interne assignés et coordonner les tâches attenantes.","Diplômé minimum d'une école d'Ingénieurs ou d'un cycle universitaire, vous avez une bonne culture de l'IT, vous êtes agile et avez une très bonne connaissance du monde Open Source. Vous disposez d'au moins 5 ans à une position similaire. Vous êtes intéressé pour progresser dans un environnement hétérogène, multicompétences. Vous êtes ouvert d'esprit et aimez travailler en équipe. Vous êtes moteur dans votre activité. Votre organisation et votre sens de la communication vous permettent d'être efficace sur des tâches de MCO et de gérer aisément des projets internes à la DSI (migrations, mises à jour, déploiements massifs…). Vous êtes disposé à faire des astreintes et votre niveau d'anglais est opérationnel.",['Anglais'],"[""Capacité d'analyse"", 'Capacité de communication', 'Disponibilité', ""Esprit d'équipe"", ""Sens de l'organisation""]","['Open source', 'Active Directory', 'Architecture', 'Contrôle qualité', 'Documentation technique', 'Gestion de projet', 'Maintenance curative', 'Maintenance préventive', 'Management de projet', 'Management des personnes', 'MCO', 'Microsoft Windows', 'Mise en production', 'Roadmap']","Notre client est un acteur majeur du numérique en France. Ce poste est à pourvoir au sein de la DSI (400 personnes) et plus particulièrement dans la Direction de la Production et des Infrastructures (150 personnes).

Les locaux sont situés à Ivry-Sur-Seine."
MICHAEL PAGE INTERNATIONAL FRANCE,"1 
 CDI",Courbevoie - 92,Publiée le 16/03/2024,Actualisée le 16/03/2024,50 - 60 k€ brut annuel,Dès que possible,Aucune expérience exigée,Data engineer,Cadre du secteur privé,Pas de déplacement,ACCUEIL OU ACCOMPAGNEMENT SANS HÉBERGEMENT D'ADULTES HANDICAPÉS OU DE PERSONNES ÂGÉES,,"Au sein de la DSI Groupe, rattaché au Pôle Données, vos responsabilités sont les suivantes :

Votre mission première sera de participer activement à la démarche d'industrialisation des solutions big data :
Vous collaborez fortement avec une équipe d'experts sur la donnée énergétique dans le but de concevoir l'architecture big data et la piloter,
Vous serez attendu également sur tous les sujets d'innovations data visant à améliorer et valoriser la donnée : Move to cloud pour exemple,
Vous anticipez les challenges à venir comme une croissance forte des volumes de données et les outils technologiques adéquats et qui permettront d'y répondre,
Vous devez embarquer différents interlocuteurs tant métiers, top management que les interlocuteurs techniques du pôle et de la DSI Groupe,
Vous devrez échanger avec les équipes infrastructure du Groupe sur les meilleures solutions d'hébergement de la donnée et répondant à l'accroissement du volume,
Dans cette démarche collaborative, vous serez chargé de réaliser des études techniques,
Vous participez activement aux cérémonies AGILE.","Issu d'une formation supérieure, de type école d'Ingénieur ou équivalent universitaire, vous justifiez d'une expérience d'au moins 5 ans dans le domaine de l'IT, dont au moins une expérience dans des fonctions similaires et si possible dans un environnement Agile.

Vous disposez de solides compétences en gestion de données volumiques et complexes.

Vous maîtrisez idéalement les outils technologiques suivants : Le cloud orienté données, Hadoop, Spark, Postgres et un gros plus si vous connaissez Teradata. Vous maîtrisez idéalement Java, Scala et Python.

C'est un gros plus si vous maîtrisez également l'environnement DevOps et la méthode Finops.",['Aucune langue attendue'],['Proactivité'],"['Cloud', 'FinOps', 'Gestion de base de données', 'Hadoop', 'Java', 'Python', 'Scala', 'Spark', 'Teradata', 'Big Data', 'Études techniques', 'Industrialisation', 'Scrum', ""Technologies innovantes et management de l'innovation""]","Notre client est un acteur incontournable du secteur de l'énergie.

Dans un contexte de transformation majeure de son SI, liée à l'intégration de technologies innovantes ainsi qu'à de forts enjeux de transition énergétique, notre client ambitionne de doubler les effectifs de sa DSI dans les prochaines années."
MICHAEL PAGE INTERNATIONAL FRANCE,"1 
 CDI",Aix-en-Provence - 13,Publiée le 16/03/2024,Actualisée le 16/03/2024,75 - 85 k€ brut annuel,Dès que possible,Aucune expérience exigée,Architecte développement,Cadre du secteur privé,Pas de déplacement,ACCUEIL OU ACCOMPAGNEMENT SANS HÉBERGEMENT D'ADULTES HANDICAPÉS OU DE PERSONNES ÂGÉES,,"Missions :

Tech lead/pilotage :
Participer à la roadmap technologique du pôle,
S'assurer des plannings de réalisation de mise en production,
Être le garant du rôle de référent technique de l'équipe et être porteur des comités d'expertise.




Ingénierie technique :
Valider, voire définir les plans de mise en production (PMEP),
Contrôler et valider la qualité des livrables des équipes projets et d'architecture (DIN, DAT, DEX),
Déployer les infrastructures à forte valeur ajoutée,
Assurer la mise en activité réelle d'une correction ou d'une mise à jour d'une composante logicielle ou matérielle après sa validation en pré-production (RUN),
Assurer l'interface avec les fournisseurs, les Architectes, les « TAM » et le Incidents/Problem/Change Manager,
Assurer un support technique de 2ème niveau sur les environnements technique de production,
Réaliser l'analyse des contraintes d'exploitabilité,
Participer à la définition et la mise en place du PRA,
Définir les procédures pour assurer une maintenance préventive et curative des systèmes.




Ingénierie analytique et chefferie de projet :
Établir la documentation technique, pérenniser la connaissance,
Assurer le pilotage des projets interne assignés et coordonner les tâches attenantes.","Diplômé d'une école d'Ingénieurs ou d'un cycle universitaire, vous avez une bonne culture de l'IT, vous êtes agile et avez une très bonne connaissance du monde Open Source. Vous disposez d'au moins 5 ans dans une position similaire. Vous êtes intéressé pour progresser dans un environnement hétérogène et multicompétences. Vous êtes ouvert d'esprit et aimez travailler en équipe. Vous êtes moteur dans votre activité. Votre organisation et votre sens de la communication vous permettent d'être efficace sur des tâches de MCO et de gérer aisément des projets internes à la DSI (migrations, mises à jour, déploiements massifs…). Vous êtes disposé à faire des astreintes et votre niveau d'anglais est opérationnel.",['Anglais'],"[""Capacité d'analyse"", 'Capacité de communication', 'Disponibilité', ""Esprit d'équipe"", ""Sens de l'organisation""]","['Open source', 'Architecture', 'Contrôle qualité', 'Documentation technique', 'Gestion de projet', 'Maintenance curative', 'Maintenance préventive', 'Management de projet', 'Management des personnes', 'MCO', 'Microsoft Windows', 'Mise en production', 'Roadmap']","Notre client est un acteur majeur du numérique en France. Ce poste est à pourvoir au sein de la DSI (400 personnes) et plus particulièrement dans la Direction de la Production et des Infrastructures (150 personnes).

Les locaux sont situés à Aix-en-Provence."
MICHAEL PAGE INTERNATIONAL FRANCE,"1 
 CDI",Rueil-Malmaison - 92,Publiée le 16/03/2024,Actualisée le 16/03/2024,55 - 70 k€ brut annuel,Dès que possible,Aucune expérience exigée,Développeur,Cadre du secteur privé,Pas de déplacement,ACCUEIL OU ACCOMPAGNEMENT SANS HÉBERGEMENT D'ADULTES HANDICAPÉS OU DE PERSONNES ÂGÉES,,"En tant que Développeur Fullstack .Net, vos missions sont :
Échanger avec les équipes en lien avec la mission,
Prendre connaissance des contraintes techniques du projet : Délai, planning, budget,
Traduire des besoins fonctionnels en cahier des charges,
Déterminer l'ensemble des outils nécessaires au développement du projet,
Étudier les spécifications et la faisabilité technologique de la mission,
Élaborer et rédiger le cahier des charges techniques, à partir des caractéristiques et des spécifications fonctionnelles.




Conception et développement de la solution technique :
Choisir et exploiter les outils à disposition qui permettront de réaliser et d'optimiser les démonstrateurs techniques,
Développer la solution technique en respectant les normes et les standards,
Suivre les travaux (développement, tests).




Phase de tests et de validations :
Définir les scénarios de test,
Tester, identifier et traiter les dysfonctionnements éventuels de la solution développée.




Correction et amélioration de la solution :
Adapter les spécifications de la solution en tenant compte des tests effectués et des besoins utilisateurs,
Corriger si nécessaire la documentation technique.","De formation de type Bac +5 minimum en informatique, vous justifiez d'au moins 3 ans d'expérience dans le développement d'applications sur les technologies Microsoft. Vous avez une très bonne connaissance de .NET Core, .NET, ASP.NET, ASP.NET MVC, C#, JS, JQuery, Boostrap.
Vous travaillez en méthodologies Scrum et Agile.

Vous êtes motivé et vous ne craignez pas de toucher à tout.",['Aucune langue attendue'],"[""Capacité d'adaptation"", 'Motivation']","['ASP.NET', 'Bootstrap', 'C sharp', 'JavaScript', 'JQuery', 'Modèle-Vue-Contrôleur', 'Cahier des charges', 'Documentation technique', 'Gestion de projet', 'Informatique', 'Méthodologie agile', 'Microsoft .NET', 'Microsoft Office XP', 'Outils de développement', 'Rédaction de cahier des charges', 'Rédaction de spécifications techniques et fonctionnelles', 'Suivi de chantier', 'Test de validation']","Recrutez rapidement les meilleurs experts en informatique avec Michael Page Technology. Nos consultants spécialisés en recrutement IT associent outils de sourcing innovants, approche directe et conseil personnalisé pour recruter vos talents IT en CDI, Freelance, Management de Transition ou Intérim. Michael Page Technology répond à vos enjeux de recrutement en Infrastructure, Développement, Data, IA, Cloud, Cybersécurité, Projets, etc.

Notre client, entreprise spécialisée autour des nouvelles technologies Microsoft, recherche, dans le cadre d'une création de poste, un Développeur Fullstack .Net. Le poste est en CDI et basé à Saint-Cloud (92)."
MICHAEL PAGE INTERNATIONAL FRANCE,"1 
 CDI",Nanterre - 92,Publiée le 16/03/2024,Actualisée le 16/03/2024,65 - 80 k€ brut annuel,Dès que possible,Aucune expérience exigée,Administrateur data center,Cadre du secteur privé,Pas de déplacement,AUTRES ACTIVITÉS DE SOUTIEN AUX ENTREPRISES NCA,,"Au sein de l'équipe infrastructure d'une dizaine d'Architectes et d'Ingénieurs Confirmés, vous intervenez comme Architecte Infrastructure Datacenter. Vos missions :
Définir des normes pour l'installation de nouveaux matériels et systèmes de surveillance,
Gérer et concevoir l'espace du datacenter, incluant la disposition des racks, le confinement chaud/froid, l'infrastructure du réseau, la distribution des circuits de dérivation, les exigences en matière d'alimentation, le cheminement des câbles et les phases de construction prévues,
Collaborer avec les équipes de proximité du datacenter, les parties prenantes internes et établir les exigences et s'assurer qu'elles soient respectées par les équipes de proximité du data center et créer des normes d'infrastructure pour les datacenters à l'échelle mondiale,
Effectuer des analyses d'ingénierie dans les data centers existants et diriger les réunions de coordination du projet et communiquer clairement les mises à jour nécessaires,
Travailler en étroite collaboration l'équipe d'ingénierie pour partager les meilleures pratiques,
Établir un lien efficace entre le monde logique et le monde physique, en garantissant une compréhension holistique de l'ensemble de l'infrastructure,
Agir en tant que point de contact mondial concernant la conception, la mise en oeuvre et la livraison des projets qui affectent leurs data centers.","Diplômé d'un Bac +5 minimum en informatique, vous disposez d'une expérience d'au moins 5 ans à un poste similaire dans le domaine de l'infrastructure.

Vous êtes reconnu pour votre proactivité et votre bonne capacité à gérer les priorités. Vous faites preuve de pédagogie et êtes à l'aise dans le transfert de connaissances et les discussions techniques.

Anglais professionnel exigé.",['Anglais'],"[""Esprit d'équipe"", 'Pédagogie', 'Proactivité']","['Alimentation', 'Centre de traitement de données', 'Conduite de réunions', 'Gestion des priorités', 'Informatique', 'Management de projet', 'Physique', 'Processus et gestion de la paie', 'Rack']","Nous recrutons pour notre client, prestataire leader de l'externalisation de la gestion de paie, de l'administration du personnel et de la gestion des ressources humaines, un Architecte Infrastructure Datacenter.

D'envergure internationale, il compte aujourd'hui en France plus de 2 000 salariés et 12 000 clients.

Le poste est à pourvoir à Nanterre (92)."
PAGE PERSONNEL,"1 
 CDI",Bourg-en-Bresse - 01,Publiée le 16/03/2024,Actualisée le 16/03/2024,35 - 43 k€ brut annuel,Dès que possible,Aucune expérience exigée,Orthophoniste,Cadre du secteur privé,Pas de déplacement,FABRICATION DE PRODUITS PHARMACEUTIQUES DE BASE,,"En tant qu'Orthophoniste, vous intervenez sur les missions suivantes :
Vous intervenez sur la prescription médicale auprès de personnes souffrant de différents troubles (troubles de la voix, paralysies faciales, troubles d'articulation, troubles de la déglutition, surdité),
Vous rééduquez les défauts de prononciation (bégaiement, dyslexie, dysphasie...),
Vous concevez des programmes de rééducation en collaboration avec le patient selon son handicap (mémoire, attention, concentration, etc.),
Vous collaborez avec une équipe pluridisciplinaire composée par un MPR, Masseur-Kinésithérapeute.


Date de début : à définir.

Rythme : 80 %.

Des salles de kinésithérapie, un bassin de balnéothérapie un plateau technique sont à votre disposition.

Avantages :
Rémunération attractive,
Ambiance très agréable,
Prime de participation et intéressement,
Excellente qualité de prise en charge,
Participation employeur : Mutuelle, transport.","Vous êtes titulaire du certificat de capacité d'Orthophoniste et vous justifiez d'au moins une première expérience dans un établissement de santé.

Vous avez un sens de l'écoute et un bon esprit d'équipe ?

N'hésitez pas à postuler pour vous donner plus d'informations.",['Aucune langue attendue'],"['Capacité d’écoute', ""Esprit d'équipe""]","['Kinésithérapie', 'Prescriptions', 'Prise en charge des patients', 'Qualité', 'Rééducation', 'Santé', 'Thérapie']","En tant qu'Orthophoniste, vous travaillez chez l'un de nos clients, basé dans la région Bourg-en-Bresse.

Il s'agit d'un établissement privé SSR disposant de lits d'hospitalisation complète et de places d'hospitalisation de jour spécialisé en rééducation neurologique et locomoteur.

Cet établissement une prise en charge de haute qualité."
MICHAEL PAGE INTERNATIONAL FRANCE,"1 
 CDI",Grasse - 06,Publiée le 16/03/2024,Actualisée le 16/03/2024,90 - 100 k€ brut annuel,Dès que possible,Aucune expérience exigée,Responsable qualité,Cadre du secteur privé,Pas de déplacement,ACCUEIL OU ACCOMPAGNEMENT SANS HÉBERGEMENT D'ADULTES HANDICAPÉS OU DE PERSONNES ÂGÉES,,"Missions :

Rôles et responsabilités locales :
Vous êtes à la tête de l'organisation contrôle qualité pour le marché local,
Vous encadrez, assisté de 3 responsables de département, une équipe de 55 Collaborateurs répartis sur 3 Départements (3 direct reports sur les laboratoires Parfumerie, Arômes, Analytique),
Vous êtes le responsable des laboratoires : Laboratoires d'évaluation sensorielle, physico-chimie, GC, HPLC et microbiologie,
Vous gérez les activités BSL QC arômes/fragrances/matières premières,
En collaboration avec les Responsables de chaque département, vous êtes en charge de gérer les investissements, les ressources, les équipements et les effectifs du contrôle qualité.




Rôles et responsabilités globales :
Vous êtes en charge du Quality Management Master Data au niveau Groupe,
Vous êtes membre des comités de pilotage de projets pour le domaine QC,
Avec votre équipe (QM Data Coordinator), vous maintenez les Master Data dans nos applications informatiques (ECC, PLM),
Vous êtes en charge des processus et Master Data dans le domaine QC,
Avec l'équipe Global QC, vous évaluez les nouveaux besoins (organisation, processus, master data, évolution informatique. Vous avez une position d'Expert/Conseiller et d'Approbateur.","De formation de type Bac +5 minimum technique, vous possédez au moins 10 ans au sein d'un poste similaire dans l'industrie des matières premières aromatiques, de la chimie organique, de l'agroalimentaire, de la cosmétique ou pharmaceutique.

Vous avez encadré des équipes larges.Vous êtes reconnu pour votre leadership et votre capacité à fédérer vos équipes. Anglais lu et parlé indispensable.",['Anglais'],"['Capacité à fédérer', ""Capacité d'analyse"", 'Leadership', ""Sens de l'organisation""]","['Agroalimentaire', ""Animation d'équipes"", 'Arômes', 'Chimie organique', 'Chromatographie liquide', 'Comité de pilotage', 'Contrôle qualité', 'Gestion de laboratoire', 'Informatique', 'Management de projet', 'Management des personnes', 'Management QSE', 'Microbiologie', 'Physico-chimie', 'PLM']",Notre client est un acteur majeur dans le secteur de la production de matières premières aromatiques. Nous recrutons actuellement futur Responsable Contrôle Qualité.
